Dates,Confirmed Cases
1/22/2020,1
1/23/2020,1
1/24/2020,2
1/25/2020,2
1/26/2020,5
1/27/2020,5
1/28/2020,5
1/29/2020,6
1/30/2020,6
1/31/2020,8
2/1/2020,8
2/2/2020,8
2/3/2020,11
2/4/2020,11
2/5/2020,11
2/6/2020,12
2/7/2020,12
2/8/2020,12
2/9/2020,12
2/10/2020,12
2/11/2020,13
2/12/2020,13
2/13/2020,14
2/14/2020,14
2/15/2020,14
2/16/2020,14
2/17/2020,14
2/18/2020,14
2/19/2020,14
2/20/2020,14
2/21/2020,16
2/22/2020,16
2/23/2020,16
2/24/2020,16
2/25/2020,16
2/26/2020,16
2/27/2020,17
2/28/2020,17
2/29/2020,25
3/1/2020,32
3/2/2020,55
3/3/2020,74
3/4/2020,107
3/5/2020,184
3/6/2020,237
3/7/2020,403
3/8/2020,519
3/9/2020,594
3/10/2020,782
3/11/2020,1147
3/12/2020,1586
3/13/2020,2219
3/14/2020,2978
3/15/2020,3212
3/16/2020,4679
3/17/2020,6512
3/18/2020,9169
3/19/2020,13663
3/20/2020,20030
3/21/2020,26025
3/22/2020,34855
3/23/2020,46086
3/24/2020,56698
3/25/2020,68773
3/26/2020,86613
3/27/2020,105293
3/28/2020,124900
3/29/2020,143779
3/30/2020,165861
3/31/2020,192177
4/1/2020,218060
4/2/2020,248447
4/3/2020,280417
4/4/2020,313432
4/5/2020,341629
4/6/2020,371802
4/7/2020,403212
4/8/2020,435407
4/9/2020,469989
4/10/2020,503474
4/11/2020,532782
4/12/2020,559709
4/13/2020,585518
4/14/2020,614082
4/15/2020,644247
4/16/2020,675648
4/17/2020,708317
4/18/2020,736244
4/19/2020,761933
4/20/2020,790353
4/21/2020,816413
4/22/2020,845727
4/23/2020,878911
4/24/2020,912662
4/25/2020,944234
4/26/2020,971078
4/27/2020,994265
4/28/2020,1018926
4/29/2020,1046737
4/30/2020,1076224
5/1/2020,1110464
5/2/2020,1138228
5/3/2020,1162685
5/4/2020,1186067
5/5/2020,1210577
5/6/2020,1235666
5/7/2020,1263402
5/8/2020,1290151
5/9/2020,1315099
5/10/2020,1333970
5/11/2020,1353397
5/12/2020,1376122
5/13/2020,1397085
5/14/2020,1424243
5/15/2020,1449498
5/16/2020,1473514
5/17/2020,1491829
5/18/2020,1513816
5/19/2020,1534871
5/20/2020,1557933
5/21/2020,1583798
5/22/2020,1607109
5/23/2020,1628212
5/24/2020,1648158
5/25/2020,1666505
5/26/2020,1685956
5/27/2020,1704489
5/28/2020,1727357
5/29/2020,1751612
5/30/2020,1775428
5/31/2020,1794465
6/1/2020,1811655
6/2/2020,1833141
6/3/2020,1853068
6/4/2020,1874451
6/5/2020,1899995
6/6/2020,1921235
6/7/2020,1938921
6/8/2020,1956401
6/9/2020,1974701
6/10/2020,1995914
6/11/2020,2018815
6/12/2020,2043703
6/13/2020,2068887
6/14/2020,2087943
6/15/2020,2107447
6/16/2020,2131024
6/17/2020,2157676
6/18/2020,2185550
6/19/2020,2216739
6/20/2020,2248483
6/21/2020,2274194
6/22/2020,2305200
6/23/2020,2341372
6/24/2020,2375813
6/25/2020,2416165
6/26/2020,2461586
6/27/2020,2502740
6/28/2020,2543302
6/29/2020,2583422
6/30/2020,2629439
7/1/2020,2681029
7/2/2020,2736658
7/3/2020,2788223
7/4/2020,2833945
7/5/2020,2883931
7/6/2020,2927440
7/7/2020,2988283
7/8/2020,3048149
7/9/2020,3110715
7/10/2020,3178541
7/11/2020,3239445
7/12/2020,3298169
7/13/2020,3356407
7/14/2020,3424029
7/15/2020,3492184
7/16/2020,3568772
7/17/2020,3640660
7/18/2020,3703105
7/19/2020,3763696
7/20/2020,3825215
7/21/2020,3889282
7/22/2020,3961257
7/23/2020,4029856
7/24/2020,4103287
7/25/2020,4168436
7/26/2020,4223184
7/27/2020,4279307
7/28/2020,4344986
7/29/2020,4416810
7/30/2020,4484576
7/31/2020,4553337
8/1/2020,4610068
8/2/2020,4656256
8/3/2020,4700961
8/4/2020,4758265
8/5/2020,4812824
8/6/2020,4872195
8/7/2020,4930744
8/8/2020,4984863
8/9/2020,5031263
8/10/2020,5079912
8/11/2020,5126858
8/12/2020,5183757
8/13/2020,5235677
8/14/2020,5300376
8/15/2020,5347012
8/16/2020,5387890
8/17/2020,5424646
8/18/2020,5469674
8/19/2020,5517381
8/20/2020,5561286
8/21/2020,5609976
8/22/2020,5653277
8/23/2020,5687713
8/24/2020,5724133
8/25/2020,5764251
8/26/2020,5809898
8/27/2020,5855060
8/28/2020,5902010
8/29/2020,5947311
8/30/2020,5981967
8/31/2020,6017097
9/1/2020,6058945
9/2/2020,6100018
9/3/2020,6143817
9/4/2020,6193992
9/5/2020,6237103
9/6/2020,6268531
9/7/2020,6291963
9/8/2020,6319097
9/9/2020,6353027
9/10/2020,6389235
9/11/2020,6436624
9/12/2020,6477526
9/13/2020,6511799
9/14/2020,6545665
9/15/2020,6585107
9/16/2020,6623637
9/17/2020,6668590
9/18/2020,6717565
9/19/2020,6759863
9/20/2020,6798261
9/21/2020,6849919
9/22/2020,6889482
9/23/2020,6928137
9/24/2020,6974336
9/25/2020,7022042
9/26/2020,7066289
9/27/2020,7103508
9/28/2020,7135817
9/29/2020,7178637
9/30/2020,7219993
10/1/2020,7265472
10/2/2020,7319889
10/3/2020,7368376
10/4/2020,7404432
10/5/2020,7443292
10/6/2020,7488142
10/7/2020,7538997
10/8/2020,7597310
10/9/2020,7653210
10/10/2020,7707657
10/11/2020,7753980
10/12/2020,7795110
10/13/2020,7846968
10/14/2020,7906419
10/15/2020,7970877
10/16/2020,8039443
10/17/2020,8096194
10/18/2020,8145485
10/19/2020,8212380
10/20/2020,8273792
10/21/2020,8336799
10/22/2020,8412298
10/23/2020,8493414
10/24/2020,8576057
10/25/2020,8637806
10/26/2020,8704274
10/27/2020,8780512
10/28/2020,8859310
10/29/2020,8949782
10/30/2020,9048263
10/31/2020,9137194
11/1/2020,9241521
11/2/2020,9324616
11/3/2020,9450988
11/4/2020,9554518
11/5/2020,9682196
11/6/2020,9809038
11/7/2020,9937298
11/8/2020,10047724
11/9/2020,10169076
11/10/2020,10308385
11/11/2020,10454619
11/12/2020,10616251
11/13/2020,10795270
11/14/2020,10963295
11/15/2020,11099318
11/16/2020,11258134
11/17/2020,11419139
11/18/2020,11591694
11/19/2020,11780990
11/20/2020,11977440
11/21/2020,12157737
11/22/2020,12304199
11/23/2020,12472178
11/24/2020,12646575
11/25/2020,12830170
11/26/2020,12944048
11/27/2020,13148135
11/28/2020,13303242
11/29/2020,13442656
11/30/2020,13599496
12/1/2020,13783773
12/2/2020,13985434
12/3/2020,14205041
12/4/2020,14434647
12/5/2020,14650139
12/6/2020,14830883
12/7/2020,15020042
12/8/2020,15239976
12/9/2020,15463239
12/10/2020,15689923
12/11/2020,15924026
12/12/2020,16143219
12/13/2020,16334361
12/14/2020,16527207
12/15/2020,16725973
12/16/2020,16973376
12/17/2020,17209587
12/18/2020,17459296
12/19/2020,17655591
12/20/2020,17844690
12/21/2020,18035209
12/22/2020,18230242
12/23/2020,18458373
12/24/2020,18656776
12/25/2020,18756360
12/26/2020,18982634
